Judge,Year,Court
Hon. W. Allan Sharrett~,2005,Sussex Circuit Court
Hon. C. Randall Lowe~*,2008,Washington Circuit Court
Hon. Isaac St. C. Freeman,2008,Washington Circuit Court
Hon. Larry B. Kirksey,2008,Washington Circuit Court
Hon. Larry B. Kirksey~,2008,Bristol Circuit Court
Hon. C. Randall Lowe*,2008,Bristol Circuit Court
Hon. Isaac St. C. Freeman,2008,Bristol Circuit Court
Hon. Thomas V. Warren~*,2009,Amelia Circuit Court
Hon. Pamela S. Baskervill,2009,Amelia Circuit Court
Hon. James F. D'Alton Jr.,2009,Amelia Circuit Court
Hon. Dennis Lee Hupp~,2006,Warren Circuit Court
Hon. John E. Wetsel Jr.~,2006,Warren Circuit Court
Hon. John J. McGrath Jr.*,2006,Warren Circuit Court
Hon. James V. Lane,2006,Warren Circuit Court
Hon. John R. Prosser,2006,Warren Circuit Court
Hon. Samuel T. Powell III~,2008,Williamsburg/James City County Circuit Court
Hon. N. Prentis Smiley Jr.*,2008,Williamsburg/James City County Circuit Court
Hon. Thomas B. Hoover,2008,Williamsburg/James City County Circuit Court
Hon. William H. Shaw III,2008,Williamsburg/James City County Circuit Court
Hon. Richard S. Blanton~,2008,Buckingham Circuit Court
Hon. William L. Wellons*,2008,Buckingham Circuit Court
Hon. Leslie M. Osborn,2008,Buckingham Circuit Court
Hon. James W. Updike Jr.~*,2008,Bedford Circuit Court
Hon. John T. Cook,2008,Bedford Circuit Court
Hon. J. Michael Gamble,2008,Bedford Circuit Court
Hon. J. Leyburn Mosby Jr.,2008,Bedford Circuit Court
Hon. Mosby Garland Perrow III,2008,Bedford Circuit Court
Hon. Humes J. Franklin Jr.~,2006,Staunton Circuit Court
Hon. Thomas H. Wood*,2006,Staunton Circuit Court
Hon. Michael S. Irvine,2006,Staunton Circuit Court
Hon. Malfourd W.  Bo Trumbo,2006,Staunton Circuit Court
"Hon. Cheryl V. Higgins, Presiding Judge, Chief Judge",2010,Albemarle Circuit Court
Hon. John G. Berry,2010,Albemarle Circuit Court
Hon. Daniel R. Bouton,2010,Albemarle Circuit Court
Hon. Edward L. Hogshire,2010,Albemarle Circuit Court
Hon. Timothy K. Sanner,2010,Albemarle Circuit Court
Hon. W. Allan Sharrett~*,2006,Sussex Circuit Court
Hon. Samuel E. Campbell~,2006,Sussex Circuit Court
Hon. Larry B. Kirksey~,2009,Bristol Circuit Court
Hon. C. Randall Lowe*,2009,Bristol Circuit Court
Hon. Isaac St. C. Freeman,2009,Bristol Circuit Court
Hon. Harry T. Taliaferro III~*,2006,Westmoreland Circuit Court
Hon. George Mason III~,2006,Westmoreland Circuit Court
Hon. John Richard Alderman,2006,Westmoreland Circuit Court
Hon. J. Martin Bass,2006,Westmoreland Circuit Court
Hon. H. Harrison Braxton Jr.,2006,Westmoreland Circuit Court
Hon. Horace A. Revercomb III,2006,Westmoreland Circuit Court
Hon. John W. Scott Jr.,2006,Westmoreland Circuit Court
Hon. Ann Hunter Simpson,2006,Westmoreland Circuit Court
"Hon. James F. D'Alton Jr., Chief Judge",2010,Amelia Circuit Court
Hon. Pamela S. Baskervill,2010,Amelia Circuit Court
Hon. C. Randall Lowe~*,2009,Washington Circuit Court
Hon. Isaac St. C. Freeman,2009,Washington Circuit Court
Hon. Larry B. Kirksey,2009,Washington Circuit Court
Hon. Samuel T. Powell III~,2009,Williamsburg/James City County Circuit Court
Hon. Thomas B. Hoover*,2009,Williamsburg/James City County Circuit Court
Hon. William H. Shaw III,2009,Williamsburg/James City County Circuit Court
Hon. Dennis Lee Hupp~,2007,Warren Circuit Court
Hon. John J. McGrath Jr.*,2007,Warren Circuit Court
Hon. James V. Lane,2007,Warren Circuit Court
Hon. John R. Prosser,2007,Warren Circuit Court
Hon. John E. Wetsel Jr.,2007,Warren Circuit Court
Hon. Josiah T. Showalter Jr.~*,2008,Wythe Circuit Court
Hon. Brett L. Geisler,2008,Wythe Circuit Court
Hon. Colin R. Gibb,2008,Wythe Circuit Court
Hon. Ray Wilson Grubbs,2008,Wythe Circuit Court
Hon. Robert M. D. Turk,2008,Wythe Circuit Court
"Hon. James W. Updike Jr., Presiding Judge",2010,Bedford Circuit Court
"Hon. Mosby Garland Perrow III, Chief Judge",2010,Bedford Circuit Court
Hon. John T. Cook,2010,Bedford Circuit Court
Hon. J. Michael Gamble,2010,Bedford Circuit Court
Hon. J. Leyburn Mosby Jr.,2010,Bedford Circuit Court
Hon. Humes J. Franklin Jr.~*,2007,Staunton Circuit Court
Hon. Michael S. Irvine,2007,Staunton Circuit Court
Hon. Malfourd W.  Bo Trumbo,2007,Staunton Circuit Court
Hon. Thomas H. Wood,2007,Staunton Circuit Court
Hon. Richard S. Blanton~*,2009,Buckingham Circuit Court
Hon. Leslie M. Osborn,2009,Buckingham Circuit Court
"Hon. C. Randall Lowe, Presiding Judge, Chief Judge",2010,Washington Circuit Court
Hon. Isaac St. C. Freeman,2010,Washington Circuit Court
Hon. Larry B. Kirksey,2010,Washington Circuit Court
"Hon. Larry B. Kirksey, Presiding Judge",2010,Bristol Circuit Court
"Hon. C. Randall Lowe, Chief Judge",2010,Bristol Circuit Court
Hon. Isaac St. C. Freeman,2010,Bristol Circuit Court
Hon. W. Allan Sharrett~*,2008,Sussex Circuit Court
Hon. Samuel E. Campbell~,2008,Sussex Circuit Court
"Hon. Cheryl V. Higgins, Presiding Judge",2011,Albemarle Circuit Court
"Hon. John G. Berry, Chief Judge",2011,Albemarle Circuit Court
Hon. Daniel R. Bouton,2011,Albemarle Circuit Court
Hon. Edward L. Hogshire,2011,Albemarle Circuit Court
Hon. Timothy K. Sanner,2011,Albemarle Circuit Court
"Hon. James F. D'Alton Jr., Chief Judge",2011,Amelia Circuit Court
Hon. Pamela S. Baskervill,2011,Amelia Circuit Court
Hon. Dennis Lee Hupp~,2008,Warren Circuit Court
Hon. John R. Prosser*,2008,Warren Circuit Court
Hon. James V. Lane,2008,Warren Circuit Court
Hon. John E. Wetsel Jr.,2008,Warren Circuit Court
Hon. Thomas J. Wilson IV,2008,Warren Circuit Court
"Hon. James W. Updike Jr., Presiding Judge",2011,Bedford Circuit Court
"Hon. Mosby Garland Perrow III, Chief Judge",2011,Bedford Circuit Court
Hon. John T. Cook,2011,Bedford Circuit Court
Hon. J. Michael Gamble,2011,Bedford Circuit Court
Hon. F. Patrick Yeatts,2011,Bedford Circuit Court
Hon. Humes J. Franklin Jr.~*,2008,Staunton Circuit Court
Hon. Michael S. Irvine,2008,Staunton Circuit Court
Hon. Victor V. Ludwig,2008,Staunton Circuit Court
Hon. Malfourd W. Bo Trumbo,2008,Staunton Circuit Court
"Hon. Samuel T. Powell III, Presiding Judge",2011,Williamsburg/James City County Circuit Court
"Hon. Thomas B. Hoover, Chief Judge",2011,Williamsburg/James City County Circuit Court
Hon. R. Bruce Long,2011,Williamsburg/James City County Circuit Court
"Hon. Larry B. Kirksey, Presiding Judge",2011,Bristol Circuit Court
"Hon. C. Randall Lowe, Chief Judge",2011,Bristol Circuit Court
Hon. Isaac St. C. Freeman,2011,Bristol Circuit Court
"Hon. C. Randall Lowe, Presiding Judge, Chief Judge",2011,Washington Circuit Court
Hon. Isaac St. C. Freeman,2011,Washington Circuit Court
Hon. Larry B. Kirksey,2011,Washington Circuit Court
"Hon. Cheryl V. Higgins, Presiding Judge",2012,Albemarle Circuit Court
"Hon. Daniel R. Bouton, Chief Judge",2012,Albemarle Circuit Court
Hon. Edward L. Hogshire,2012,Albemarle Circuit Court
Hon. Timothy K. Sanner,2012,Albemarle Circuit Court
"Hon. Josiah T. Showalter Jr., Presiding Judge",2010,Wythe Circuit Court
"Hon. Colin R. Gibb, Chief Judge",2010,Wythe Circuit Court
Hon. Brett L. Geisler,2010,Wythe Circuit Court
Hon. Ray Wilson Grubbs,2010,Wythe Circuit Court
Hon. Robert M. D. Turk,2010,Wythe Circuit Court
"Hon. Richard S. Blanton, Presiding Judge, Chief Judge",2010,Buckingham Circuit Court
Hon. Joel C. Cunningham,2010,Buckingham Circuit Court
