,Court,Last Hearing Date,Court ID
865,Alleghany,11/10/2020,005C
870,Alleghany,06/23/2020,005C
873,Alleghany,07/21/2020,005C
876,Alleghany,03/23/2020,005C
880,Alleghany,05/18/2020,005C
882,Alleghany,07/20/2020,005C
888,Alleghany,10/26/2020,005C
894,Alleghany,03/30/2020,005C
901,Alleghany,08/25/2020,005C
908,Alleghany,02/10/2020,005C
910,Alleghany,06/02/2020,005C
911,Alleghany,10/20/2020,005C
913,Alleghany,10/13/2020,005C
915,Alleghany,09/29/2020,005C
922,Alleghany,01/09/2020,005C
923,Alleghany,11/16/2020,005C
933,Alleghany,08/18/2020,005C
935,Alleghany,03/02/2020,005C
941,Alleghany,03/26/2020,005C
981,Alleghany,05/11/2020,005C
986,Alleghany,09/10/2020,005C
998,Alleghany,02/20/2020,005C
1021,Alleghany,08/26/2020,005C
1038,Alleghany,10/07/2020,005C
1056,Alleghany,03/10/2020,005C
1059,Alleghany,10/21/2020,005C
1064,Alleghany,09/22/2020,005C
1072,Alleghany,09/24/2020,005C
1078,Alleghany,11/17/2020,005C
1079,Alleghany,02/24/2020,005C
1112,Alleghany,02/14/2020,005C
1118,Alleghany,08/11/2020,005C
1160,Alleghany,12/17/2020,005C
1189,Alleghany,12/10/2020,005C
1194,Alleghany,12/04/2020,005C
1217,Alleghany,01/08/2020,005C
1221,Alleghany,11/12/2020,005C
1253,Alleghany,02/26/2020,005C
1286,Alleghany,09/15/2020,005C
1297,Alleghany,05/19/2020,005C
1325,Alleghany,10/08/2020,005C
1330,Alleghany,11/23/2020,005C
1374,Alleghany,12/07/2020,005C
1421,Amelia,12/18/2020,007C
1422,Amelia,06/19/2020,007C
1424,Amelia,04/07/2020,007C
1427,Amelia,06/23/2020,007C
1429,Amelia,08/06/2020,007C
1432,Amelia,08/14/2020,007C
1433,Amelia,06/05/2020,007C
1434,Amelia,09/18/2020,007C
1435,Amelia,08/25/2020,007C
1440,Amelia,02/06/2020,007C
1445,Amelia,07/17/2020,007C
1446,Amelia,12/22/2020,007C
1447,Amelia,10/16/2020,007C
1449,Amelia,05/01/2020,007C
1450,Amelia,11/05/2020,007C
1455,Amelia,01/02/2020,007C
1456,Amelia,12/03/2020,007C
1460,Amelia,10/01/2020,007C
1462,Amelia,09/03/2020,007C
1463,Amelia,06/12/2020,007C
1464,Amelia,03/05/2020,007C
1469,Amelia,10/27/2020,007C
1488,Amelia,05/15/2020,007C
1490,Amelia,07/02/2020,007C
1498,Amelia,01/24/2020,007C
1501,Amelia,11/20/2020,007C
1513,Amelia,06/04/2020,007C
1540,Amelia,02/21/2020,007C
1542,Amelia,03/17/2020,007C
1575,Amelia,12/01/2020,007C
1576,Amherst,09/16/2020,009C
1577,Amherst,08/10/2020,009C
1579,Amherst,01/06/2020,009C
1580,Amherst,06/02/2020,009C
1582,Amherst,04/03/2020,009C
1583,Amherst,08/12/2020,009C
1584,Amherst,07/15/2020,009C
1585,Amherst,05/29/2020,009C
1587,Amherst,09/15/2020,009C
1588,Amherst,11/18/2020,009C
