Judge Full Name,Year,Court Name,Judge
Samuel T Powell ,2002,Mathews,STP
N Prentis Smiley ,2002,Mathews,NPS
W Allan Sharrett  ,2012,Greensville,WAS
Thomas B Hoover ,2014,King and Queen,TBH
Richard Y AtLee  ,2014,King and Queen,RYA
Michael E McGinty,2014,King and Queen,MEM
Betsy B Woolridge,2003,Williamsburg/James City County,BBW
Samuel T Powell ,2003,Williamsburg/James City County,STP
William H Shaw ,2003,Williamsburg/James City County,WHS
Thomas B Hoover,2003,Williamsburg/James City County,TBH
N Prentis Smiley ,2003,Williamsburg/James City County,NPS
Robert C Wrenn,2003,Greensville,RCW
Robert G OHara ,2003,Greensville,RGO
James A Luke,2003,Greensville,JAL
Richard Y AtLee  ,2014,Williamsburg/James City County,RYA
Thomas B Hoover,2014,Williamsburg/James City County,TBH
Michael E McGinty,2014,Williamsburg/James City County,MEM
Gordon F Willis ,2013,Fredericksburg,GFW
David H Beck ,2013,Fredericksburg,DHB
J Martin Bass,2013,Fredericksburg,JMB
Sarah L Deneke,2013,Fredericksburg,SLD
Joseph J Ellis,2013,Fredericksburg,JJE
Timothy K Sanner ,2013,Goochland,TKS
J Overton Harris,2013,Fredericksburg,JOH
Charles S Sharp,2013,Fredericksburg,CSS
Harry T Taliaferro ,2013,Fredericksburg,HTT
Daniel R Bouton ,2013,Goochland,DRB
Cheryl  Higgins,2013,Goochland,CH
Edward L Hogshire,2013,Goochland,ELH
Susan L Whitlock,2013,Goochland,SLW
Humes J Franklin  ,2012,Highland,HJF
Malfourd W Trumbo ,2012,Highland,MWT
Michael S Irvine,2012,Highland,MSI
Victor V Ludwig,2012,Highland,VVL
Lee Grubbs Turner,2004,Goochland,LGT
Timothy K Sanner,2004,Goochland,TKS
Daniel R Bouton,2004,Goochland,DRB
John R Cullen,2004,Goochland,JRC
Edward L Hogshire,2004,Goochland,ELH
Paul M Peatross ,2004,Goochland,PMP
Sharron S Mitchell,2004,Fredericksburg,SSM
John Whittier Scott ,2004,Fredericksburg,JWS
John Richard Alderman,2004,Fredericksburg,JRA
James W Haley ,2004,Fredericksburg,JWH
William H Ledbetter ,2004,Fredericksburg,WHL
Horace A Revercomb ,2004,Fredericksburg,HAR
Ann Hunter Simpson,2004,Fredericksburg,AHS
Harry T Taliaferro ,2004,Fredericksburg,HTT
Stephen E Sincavage ,2019,Loudoun,SES
Douglas L Fleming ,2019,Loudoun,DLF
Jeanette A rby,2019,Loudoun,JAr
Jeffrey W Parker,2019,Loudoun,JWP
J S Johnston ,2001,Lynchburg,JSJ
R S Miller,2001,Lynchburg,RSM
M G Perrow ,2001,Lynchburg,MGP
J M Gamble,2001,Lynchburg,JMG
J W Updike ,2001,Lynchburg,JWU
Gary M Clemens,2002,Loudoun,GMC
Thomas D Horne,2002,Loudoun,TDH
James H Chamblin,2002,Loudoun,JHC
Burke F McCahill,2002,Loudoun,BFM
Jeffrey W Parker,2002,Loudoun,JWP
S T Powell ,2002,Mathews,STP
N P Smiley ,2002,Mathews,NPS
T B Hoover,2002,Mathews,TBH
W H Shaw ,2002,Mathews,WHS
Michael E McGinty ,2015,King and Queen,MEM
B Elliott Bondurant,2015,King and Queen,BEB
Richard H Rizk,2015,King and Queen,RHR
Jeffrey W Shaw,2015,King and Queen,JWS
Betsy B Woolridge,2003,Williamsburg/James City County,BBW
Samuel T Powell ,2003,Williamsburg/James City County,STP
William H Shaw ,2003,Williamsburg/James City County,WHS
Thomas B Hoover,2003,Williamsburg/James City County,TBH
N Prentis Smiley ,2003,Williamsburg/James City County,NPS
J W Haley ,2001,Northumberland,JWH
W H Ledbetter ,2001,Northumberland,WHL
J E Spruill ,2001,Northumberland,JES
J W Scott ,2001,Northumberland,JWS
H A Revercomb ,2001,Northumberland,HAR
A H Simpson,2001,Northumberland,AHS
J R Alderman,2001,Northumberland,JRA
Michael E McGinty ,2015,Williamsburg/James City County,MEM
B Elliott Bondurant,2015,Williamsburg/James City County,BEB
Richard H Rizk,2015,Williamsburg/James City County,RHR
Jeffrey W Shaw,2015,Williamsburg/James City County,JWS
W Allan Sharrett  ,2013,Greensville,WAS
Nathan Curtis Lee,2013,Greensville,NCL
Robert C Wrenn,2002,Greensville,RCW
Robert G OHara ,2002,Greensville,RGO
James A Luke,2002,Greensville,JAL
Timothy K Sanner  ,2014,Goochland,TKS
Daniel R Bouton,2014,Goochland,DRB
Cheryl  Higgins,2014,Goochland,CH
Susan L Whitlock,2014,Goochland,SLW
Malfourd W Trumbo ,2013,Highland,MWT
Michael S Irvine,2013,Highland,MSI
Victor V Ludwig,2013,Highland,VVL
Charles L Ricketts ,2013,Highland,CLR
Lee Grubbs Turner,2003,Goochland,LGT
Timothy K Sanner,2003,Goochland,TKS
Daniel R Bouton,2003,Goochland,DRB
John R Cullen,2003,Goochland,JRC
Edward L Hogshire,2003,Goochland,ELH
Paul M Peatross ,2003,Goochland,PMP
Sharron S Mitchell,2003,Fredericksburg,SSM
John Whittier Scott ,2003,Fredericksburg,JWS
John Richard Alderman,2003,Fredericksburg,JRA
James W Haley ,2003,Fredericksburg,JWH
William H Ledbetter ,2003,Fredericksburg,WHL
Horace A Revercomb ,2003,Fredericksburg,HAR
Ann Hunter Simpson,2003,Fredericksburg,AHS
Harry T Taliaferro ,2003,Fredericksburg,HTT
Douglas L Fleming  ,2020,Loudoun,DLF
James P Fisher,2020,Loudoun,JPF
Jeanette A rby,2020,Loudoun,JAr
James E Plowman ,2020,Loudoun,JEP
Stephen E Sincavage,2020,Loudoun,SES
J S Johnston ,2001,Lynchburg,JSJ
R S Miller,2001,Lynchburg,RSM
M G Perrow ,2001,Lynchburg,MGP
J M Gamble,2001,Lynchburg,JMG
J W Updike ,2001,Lynchburg,JWU
S T Powell ,2001,Mathews,STP
N P Smiley ,2001,Mathews,NPS
T B Hoover,2001,Mathews,TBH
W H Shaw ,2001,Mathews,WHS
Gary M Clemens,2002,Loudoun,GMC
Thomas D Horne,2002,Loudoun,TDH
James H Chamblin,2002,Loudoun,JHC
Burke F McCahill,2002,Loudoun,BFM
Jeffrey W Parker,2002,Loudoun,JWP
Michael E McGinty ,2016,King and Queen,MEM
B Elliott Bondurant,2016,King and Queen,BEB
Richard H Rizk,2016,King and Queen,RHR
Jeffrey W Shaw,2016,King and Queen,JWS
Gordon F Willis ,2014,Fredericksburg,GFW
David H Beck ,2014,Fredericksburg,DHB
Sarah L Deneke,2014,Fredericksburg,SLD
Joseph J Ellis,2014,Fredericksburg,JJE
J Overton Harris,2014,Fredericksburg,JOH
Patricia Kelly,2014,Fredericksburg,PK
Michael E Levy,2014,Fredericksburg,MEL
Charles S Sharp,2014,Fredericksburg,CSS
Harry T Taliaferro ,2014,Fredericksburg,HTT
J W Haley ,2001,Northumberland,JWH
W H Ledbetter ,2001,Northumberland,WHL
J E Spruill ,2001,Northumberland,JES
J W Scott ,2001,Northumberland,JWS
H A Revercomb ,2001,Northumberland,HAR
A H Simpson,2001,Northumberland,AHS
J R Alderman,2001,Northumberland,JRA
Michael E McGinty ,2016,Williamsburg/James City County,MEM
B Elliott Bondurant,2016,Williamsburg/James City County,BEB
Richard H Rizk,2016,Williamsburg/James City County,RHR
Jeffrey W Shaw,2016,Williamsburg/James City County,JWS
W Allan Sharrett  ,2014,Greensville,WAS
Nathan Curtis Lee,2014,Greensville,NCL
Robert C Wrenn,2002,Greensville,RCW
Robert G OHara ,2002,Greensville,RGO
James A Luke,2002,Greensville,JAL
Timothy K Sanner  ,2015,Goochland,TKS
Daniel R Bouton,2015,Goochland,DRB
Cheryl  Higgins,2015,Goochland,CH
Richard E Moore,2015,Goochland,REM
Susan L Whitlock,2015,Goochland,SLW
Malfourd W Trumbo ,2014,Highland,MWT
Michael S Irvine,2014,Highland,MSI
Victor V Ludwig,2014,Highland,VVL
Charles L Ricketts ,2014,Highland,CLR
Lee Grubbs Turner,2003,Goochland,LGT
Timothy K Sanner,2003,Goochland,TKS
Daniel R Bouton,2003,Goochland,DRB
John R Cullen,2003,Goochland,JRC
Edward L Hogshire,2003,Goochland,ELH
Paul M Peatross ,2003,Goochland,PMP
Sharron S Mitchell,2003,Fredericksburg,SSM
John Whittier Scott ,2003,Fredericksburg,JWS
John Richard Alderman,2003,Fredericksburg,JRA
James W Haley ,2003,Fredericksburg,JWH
William H Ledbetter ,2003,Fredericksburg,WHL
Horace A Revercomb ,2003,Fredericksburg,HAR
Ann Hunter Simpson,2003,Fredericksburg,AHS
Harry T Taliaferro ,2003,Fredericksburg,HTT
Douglas L Fleming  ,2021,Loudoun,DLF
James P Fisher,2021,Loudoun,JPF
Jeanette A rby,2021,Loudoun,JAr
James E Plowman ,2021,Loudoun,JEP
Stephen E Sincavage,2021,Loudoun,SES
J S Johnston ,2001,Lynchburg,JSJ
R S Miller,2001,Lynchburg,RSM
M G Perrow ,2001,Lynchburg,MGP
J M Gamble,2001,Lynchburg,JMG
J W Updike ,2001,Lynchburg,JWU
S T Powell ,2001,Mathews,STP
N P Smiley ,2001,Mathews,NPS
T B Hoover,2001,Mathews,TBH
W H Shaw ,2001,Mathews,WHS
Gary M Clemens,2002,Loudoun,GMC
Thomas D Horne,2002,Loudoun,TDH
James H Chamblin,2002,Loudoun,JHC
Burke F McCahill,2002,Loudoun,BFM
Jeffrey W Parker,2002,Loudoun,JWP
Betsy B Woolridge,2003,Williamsburg/James City County,BBW
Samuel T Powell ,2003,Williamsburg/James City County,STP
William H Shaw ,2003,Williamsburg/James City County,WHS
Thomas B Hoover,2003,Williamsburg/James City County,TBH
N Prentis Smiley ,2003,Williamsburg/James City County,NPS
B Elliott Bondurant ,2017,King and Queen,BEB
Jeffrey W Shaw ,2017,King and Queen,JWS
Michael E McGinty,2017,King and Queen,MEM
Richard H Rizk,2017,King and Queen,RHR
J W Haley ,2001,Northumberland,JWH
W H Ledbetter ,2001,Northumberland,WHL
J E Spruill ,2001,Northumberland,JES
J W Scott ,2001,Northumberland,JWS
H A Revercomb ,2001,Northumberland,HAR
A H Simpson,2001,Northumberland,AHS
J R Alderman,2001,Northumberland,JRA
Gordon F Willis ,2015,Fredericksburg,GFW
Joseph J Ellis ,2015,Fredericksburg,JJE
Sarah L Deneke,2015,Fredericksburg,SLD
J Overton Harris,2015,Fredericksburg,JOH
Herbert M Hewitt,2015,Fredericksburg,HMH
Patricia Kelly,2015,Fredericksburg,PK
Michael E Levy,2015,Fredericksburg,MEL
Charles S Sharp,2015,Fredericksburg,CSS
Harry T Taliaferro ,2015,Fredericksburg,HTT
Victoria A B Willis,2015,Fredericksburg,VABW
Jeffrey W Shaw ,2017,Williamsburg/James City County,JWS
B Elliott Bondurant,2017,Williamsburg/James City County,BEB
Michael E McGinty,2017,Williamsburg/James City County,MEM
Richard H Rizk,2017,Williamsburg/James City County,RHR
W Allan Sharrett  ,2015,Greensville,WAS
Nathan Curtis Lee,2015,Greensville,NCL
Timothy K Sanner  ,2016,Goochland,TKS
Daniel R Bouton,2016,Goochland,DRB
Cheryl  Higgins,2016,Goochland,CH
Richard E Moore,2016,Goochland,REM
Susan L Whitlock,2016,Goochland,SLW
Malfourd W Trumbo ,2015,Highland,MWT
Michael S Irvine,2015,Highland,MSI
Victor V Ludwig,2015,Highland,VVL
Charles L Ricketts ,2015,Highland,CLR
Lee Grubbs Turner,2003,Goochland,LGT
Daniel R Bouton,2003,Goochland,DRB
John R Cullen,2003,Goochland,JRC
F Ward Harkrader ,2003,Goochland,FWH
Edward L Hogshire,2003,Goochland,ELH
Paul M Peatross ,2003,Goochland,PMP
Robert C Wrenn,2002,Greensville,RCW
Robert G OHara ,2002,Greensville,RGO
James A Luke,2002,Greensville,JAL
Sharron S Mitchell,2003,Fredericksburg,SSM
John Whittier Scott ,2003,Fredericksburg,JWS
John Richard Alderman,2003,Fredericksburg,JRA
James W Haley ,2003,Fredericksburg,JWH
William H Ledbetter ,2003,Fredericksburg,WHL
Horace A Revercomb ,2003,Fredericksburg,HAR
Ann Hunter Simpson,2003,Fredericksburg,AHS
Harry T Taliaferro ,2003,Fredericksburg,HTT
J S Johnston ,2001,Lynchburg,JSJ
R S Miller,2001,Lynchburg,RSM
M G Perrow ,2001,Lynchburg,MGP
J M Gamble,2001,Lynchburg,JMG
J W Updike ,2001,Lynchburg,JWU
S T Powell ,2001,Mathews,STP
N P Smiley ,2001,Mathews,NPS
T B Hoover,2001,Mathews,TBH
W H Shaw ,2001,Mathews,WHS
Betsy B Woolridge,2003,Williamsburg/James City County,BBW
Samuel T Powell ,2003,Williamsburg/James City County,STP
Thomas B Hoover,2003,Williamsburg/James City County,TBH
William H Shaw ,2003,Williamsburg/James City County,WHS
N Prentis Smiley ,2003,Williamsburg/James City County,NPS
Gary M Clemens,2002,Loudoun,GMC
Thomas D Horne,2002,Loudoun,TDH
James H Chamblin,2002,Loudoun,JHC
Burke F McCahill,2002,Loudoun,BFM
Jeffrey W Parker,2002,Loudoun,JWP
D L Hupp,2000,Page,DLH
P R Graves ,2000,Page,PRG
J R Prosser,2000,Page,JRP
J E Wetsel ,2000,Page,JEW
J J McGrath ,2000,Page,JJM
J W Haley ,2001,Northumberland,JWH
W H Ledbetter ,2001,Northumberland,WHL
J E Spruill ,2001,Northumberland,JES
J W Scott ,2001,Northumberland,JWS
H A Revercomb ,2001,Northumberland,HAR
A H Simpson,2001,Northumberland,AHS
J R Alderman,2001,Northumberland,JRA
Gordon F Willis ,2016,Fredericksburg,GFW
Joseph J Ellis ,2016,Fredericksburg,JJE
Sarah L Deneke,2016,Fredericksburg,SLD
J Overton Harris,2016,Fredericksburg,JOH
Herbert M Hewitt,2016,Fredericksburg,HMH
Patricia Kelly,2016,Fredericksburg,PK
Michael E Levy,2016,Fredericksburg,MEL
Charles S Sharp,2016,Fredericksburg,CSS
Harry T Taliaferro ,2016,Fredericksburg,HTT
Victoria A B Willis,2016,Fredericksburg,VABW
Jeffrey W Shaw ,2018,Williamsburg/James City County,JWS
B Elliott Bondurant,2018,Williamsburg/James City County,BEB
Michael E McGinty,2018,Williamsburg/James City County,MEM
Richard H Rizk,2018,Williamsburg/James City County,RHR
W Allan Sharrett  ,2016,Greensville,WAS
Nathan Curtis Lee,2016,Greensville,NCL
Malfourd W Trumbo ,2017,Highland,MWT
Anita D Filson,2017,Highland,ADF
W Chapman Goodwin,2017,Highland,WCG
Victor V Ludwig,2017,Highland,VVL
Charles L Ricketts ,2017,Highland,CLR
Timothy K Sanner  ,2017,Goochland,TKS
Daniel R Bouton,2017,Goochland,DRB
Cheryl  Higgins,2017,Goochland,CH
Richard E Moore,2017,Goochland,REM
Susan L Whitlock,2017,Goochland,SLW
Lee Grubbs Turner,2003,Goochland,LGT
Daniel R Bouton,2003,Goochland,DRB
John R Cullen,2003,Goochland,JRC
Edward L Hogshire,2003,Goochland,ELH
Paul M Peatross ,2003,Goochland,PMP
Timothy K Sanner,2003,Goochland,TKS
B Elliott Bondurant ,2018,King and Queen,BEB
Jeffrey W Shaw ,2018,King and Queen,JWS
Michael E McGinty,2018,King and Queen,MEM
Richard H Rizk,2018,King and Queen,RHR
J S Johnston ,2001,Lynchburg,JSJ
R S Miller,2001,Lynchburg,RSM
M G Perrow ,2001,Lynchburg,MGP
J M Gamble,2001,Lynchburg,JMG
J W Updike ,2001,Lynchburg,JWU
Robert C Wrenn,2002,Greensville,RCW
Robert G OHara ,2002,Greensville,RGO
James A Luke,2002,Greensville,JAL
S T Powell ,2001,Mathews,STP
N P Smiley ,2001,Mathews,NPS
T B Hoover,2001,Mathews,TBH
W H Shaw ,2001,Mathews,WHS
Sharron S Mitchell,2003,Fredericksburg,SSM
John Whittier Scott ,2003,Fredericksburg,JWS
John Richard Alderman,2003,Fredericksburg,JRA
James W Haley ,2003,Fredericksburg,JWH
William H Ledbetter ,2003,Fredericksburg,WHL
Horace A Revercomb ,2003,Fredericksburg,HAR
Ann Hunter Simpson,2003,Fredericksburg,AHS
Harry T Taliaferro ,2003,Fredericksburg,HTT
Gary M Clemens,2002,Loudoun,GMC
Thomas D Horne,2002,Loudoun,TDH
James H Chamblin,2002,Loudoun,JHC
Burke F McCahill,2002,Loudoun,BFM
Jeffrey W Parker,2002,Loudoun,JWP
Betsy B Woolridge,2002,Williamsburg/James City County,BBW
Samuel T Powell ,2002,Williamsburg/James City County,STP
Thomas B Hoover,2002,Williamsburg/James City County,TBH
William H Shaw ,2002,Williamsburg/James City County,WHS
N Prentis Smiley ,2002,Williamsburg/James City County,NPS
D L Hupp,2000,Page,DLH
P R Graves ,2000,Page,PRG
J R Prosser,2000,Page,JRP
J E Wetsel ,2000,Page,JEW
J J McGrath ,2000,Page,JJM
Gordon F Willis ,2017,Fredericksburg,GFW
J Overton Harris ,2017,Fredericksburg,JOH
Sarah L Deneke,2017,Fredericksburg,SLD
Joseph J Ellis,2017,Fredericksburg,JJE
Herbert M Hewitt,2017,Fredericksburg,HMH
Patricia Kelly,2017,Fredericksburg,PK
Michael E Levy,2017,Fredericksburg,MEL
R Michael McKenney,2017,Fredericksburg,RMM
Ricardo Rigual,2017,Fredericksburg,RR
Charles S Sharp,2017,Fredericksburg,CSS
Victoria A B Willis,2017,Fredericksburg,VABW
J W Haley ,2001,Northumberland,JWH
W H Ledbetter ,2001,Northumberland,WHL
J E Spruill ,2001,Northumberland,JES
J W Scott ,2001,Northumberland,JWS
H A Revercomb ,2001,Northumberland,HAR
A H Simpson,2001,Northumberland,AHS
J R Alderman,2001,Northumberland,JRA
W Allan Sharrett  ,2017,Greensville,WAS
William Edward Tomko ,2017,Greensville,WET
Charles L Ricketts  ,2018,Highland,CLR
Joel R Branscom,2018,Highland,JRB
Anita D Filson,2018,Highland,ADF
W Chapman Goodwin,2018,Highland,WCG
Victor V Ludwig,2018,Highland,VVL
Timothy K Sanner  ,2018,Goochland,TKS
Daniel R Bouton,2018,Goochland,DRB
Cheryl  Higgins,2018,Goochland,CH
Richard E Moore,2018,Goochland,REM
Susan L Whitlock,2018,Goochland,SLW
Lee Grubbs Turner,2002,Goochland,LGT
F Ward Harkrader ,2002,Goochland,FWH
Daniel R Bouton,2002,Goochland,DRB
John R Cullen,2002,Goochland,JRC
Edward L Hogshire,2002,Goochland,ELH
Paul M Peatross ,2002,Goochland,PMP
B Elliott Bondurant  ,2019,King and Queen,BEB
Michael E McGinty,2019,King and Queen,MEM
Richard H Rizk,2019,King and Queen,RHR
Jeffrey W Shaw,2019,King and Queen,JWS
J S Johnston ,2001,Lynchburg,JSJ
R S Miller,2001,Lynchburg,RSM
M G Perrow ,2001,Lynchburg,MGP
J M Gamble,2001,Lynchburg,JMG
J W Updike ,2001,Lynchburg,JWU
Robert C Wrenn,2002,Greensville,RCW
Robert G OHara ,2002,Greensville,RGO
James A Luke,2002,Greensville,JAL
S T Powell ,2001,Mathews,STP
N P Smiley ,2001,Mathews,NPS
T B Hoover,2001,Mathews,TBH
W H Shaw ,2001,Mathews,WHS
Sharron S Mitchell,2003,Fredericksburg,SSM
John Whittier Scott ,2003,Fredericksburg,JWS
John Richard Alderman,2003,Fredericksburg,JRA
James W Haley ,2003,Fredericksburg,JWH
William H Ledbetter ,2003,Fredericksburg,WHL
Horace A Revercomb ,2003,Fredericksburg,HAR
Ann Hunter Simpson,2003,Fredericksburg,AHS
Harry T Taliaferro ,2003,Fredericksburg,HTT
Gary M Clemens,2002,Loudoun,GMC
Thomas D Horne,2002,Loudoun,TDH
James H Chamblin,2002,Loudoun,JHC
Burke F McCahill,2002,Loudoun,BFM
Jeffrey W Parker,2002,Loudoun,JWP
Betsy B Woolridge,2002,Williamsburg/James City County,BBW
Samuel T Powell ,2002,Williamsburg/James City County,STP
Thomas B Hoover,2002,Williamsburg/James City County,TBH
William H Shaw ,2002,Williamsburg/James City County,WHS
N Prentis Smiley ,2002,Williamsburg/James City County,NPS
Michael E McGinty ,2019,Williamsburg/James City County,MEM
B Elliott Bondurant ,2019,Williamsburg/James City County,BEB
Richard H Rizk,2019,Williamsburg/James City County,RHR
Jeffrey W Shaw,2019,Williamsburg/James City County,JWS
Gordon F Willis ,2018,Fredericksburg,GFW
J Overton Harris ,2018,Fredericksburg,JOH
Sarah L Deneke,2018,Fredericksburg,SLD
Joseph J Ellis,2018,Fredericksburg,JJE
Herbert M Hewitt,2018,Fredericksburg,HMH
Patricia Kelly,2018,Fredericksburg,PK
Michael E Levy,2018,Fredericksburg,MEL
R Michael McKenney,2018,Fredericksburg,RMM
Ricardo Rigual,2018,Fredericksburg,RR
Charles S Sharp,2018,Fredericksburg,CSS
Victoria A B Willis,2018,Fredericksburg,VABW
W Allan Sharrett  ,2018,Greensville,WAS
William Edward Tomko ,2018,Greensville,WET
Charles L Ricketts  ,2019,Highland,CLR
Joel R Branscom,2019,Highland,JRB
Anita D Filson,2019,Highland,ADF
W Chapman Goodwin,2019,Highland,WCG
Timothy K Sanner  ,2019,Goochland,TKS
Dale B Durrer,2019,Goochland,DBD
Cheryl  Higgins,2019,Goochland,CH
Richard E Moore,2019,Goochland,REM
Susan L Whitlock,2019,Goochland,SLW
Lee Grubbs Turner,2002,Goochland,LGT
F Ward Harkrader ,2002,Goochland,FWH
Daniel R Bouton,2002,Goochland,DRB
John R Cullen,2002,Goochland,JRC
Edward L Hogshire,2002,Goochland,ELH
Paul M Peatross ,2002,Goochland,PMP
Benjamin Elliott Bondurant  ,2020,King and Queen,BEB
Michael E McGinty,2020,King and Queen,MEM
Richard H Rizk,2020,King and Queen,RHR
Jeffrey W Shaw,2020,King and Queen,JWS
J W Haley ,2001,Northumberland,JWH
W H Ledbetter ,2001,Northumberland,WHL
J E Spruill ,2001,Northumberland,JES
J W Scott ,2001,Northumberland,JWS
H A Revercomb ,2001,Northumberland,HAR
A H Simpson,2001,Northumberland,AHS
J R Alderman,2001,Northumberland,JRA
S T Powell ,2001,Mathews,STP
N P Smiley ,2001,Mathews,NPS
T B Hoover,2001,Mathews,TBH
W H Shaw ,2001,Mathews,WHS
J S Johnston ,2001,Lynchburg,JSJ
R S Miller,2001,Lynchburg,RSM
M G Perrow ,2001,Lynchburg,MGP
J M Gamble,2001,Lynchburg,JMG
J W Updike ,2001,Lynchburg,JWU
Gary M Clemens,2002,Loudoun,GMC
Thomas D Horne,2002,Loudoun,TDH
James H Chamblin,2002,Loudoun,JHC
Burke F McCahill,2002,Loudoun,BFM
Jeffrey W Parker,2002,Loudoun,JWP
Robert C Wrenn,2002,Greensville,RCW
Robert G OHara ,2002,Greensville,RGO
James A Luke,2002,Greensville,JAL
Betsy B Woolridge,2002,Williamsburg/James City County,BBW
Samuel T Powell ,2002,Williamsburg/James City County,STP
Thomas B Hoover,2002,Williamsburg/James City County,TBH
William H Shaw ,2002,Williamsburg/James City County,WHS
N Prentis Smiley ,2002,Williamsburg/James City County,NPS
Michael E McGinty ,2020,Williamsburg/James City County,MEM
Benjamin Elliott Bondurant ,2020,Williamsburg/James City County,BEB
Richard H Rizk,2020,Williamsburg/James City County,RHR
Jeffrey W Shaw,2020,Williamsburg/James City County,JWS
Sharron S Mitchell,2002,Fredericksburg,SSM
John Whittier Scott ,2002,Fredericksburg,JWS
John Richard Alderman,2002,Fredericksburg,JRA
James W Haley ,2002,Fredericksburg,JWH
William H Ledbetter ,2002,Fredericksburg,WHL
Horace A Revercomb ,2002,Fredericksburg,HAR
Ann Hunter Simpson,2002,Fredericksburg,AHS
Harry T Taliaferro ,2002,Fredericksburg,HTT
Sue K Dudley,2004,Highland,SKD
Thomas H Wood,2004,Highland,THW
Humes J Franklin ,2004,Highland,HJF
Michael S Irvine,2004,Highland,MSI
Malfourd W  Bo Trumbo,2004,Highland,MWBT
Gordon F Willis ,2019,Fredericksburg,GFW
Charles S Sharp ,2019,Fredericksburg,CSS
Sarah L Deneke,2019,Fredericksburg,SLD
Joseph J Ellis,2019,Fredericksburg,JJE
J Overton Harris,2019,Fredericksburg,JOH
Herbert M Hewitt,2019,Fredericksburg,HMH
Patricia Kelly,2019,Fredericksburg,PK
Michael E Levy,2019,Fredericksburg,MEL
R Michael McKenney,2019,Fredericksburg,RMM
Ricardo Rigual,2019,Fredericksburg,RR
Victoria A B Willis,2019,Fredericksburg,VABW
W Allan Sharrett  ,2019,Greensville,WAS
Carson E Saunders ,2019,Greensville,CES
William Edward Tomko ,2019,Greensville,WET
Edward K Stein ,2020,Highland,EKS
William Chapman Goodwin ,2020,Highland,WCG
Joel R Branscom,2020,Highland,JRB
Paul A Dryer,2020,Highland,PAD
Christopher B Russell,2020,Highland,CBR
Timothy K Sanner  ,2020,Goochland,TKS
Dale B Durrer,2020,Goochland,DBD
David B Franzen,2020,Goochland,DBF
Cheryl  Higgins,2020,Goochland,CH
Richard E Moore,2020,Goochland,REM
Claude  Worrell ,2020,Goochland,CW
Lee Grubbs Turner,2002,Goochland,LGT
F Ward Harkrader ,2002,Goochland,FWH
Daniel R Bouton,2002,Goochland,DRB
John R Cullen,2002,Goochland,JRC
Edward L Hogshire,2002,Goochland,ELH
Paul M Peatross ,2002,Goochland,PMP
J W Haley ,2001,Northumberland,JWH
W H Ledbetter ,2001,Northumberland,WHL
J E Spruill ,2001,Northumberland,JES
J W Scott ,2001,Northumberland,JWS
H A Revercomb ,2001,Northumberland,HAR
A H Simpson,2001,Northumberland,AHS
J R Alderman,2001,Northumberland,JRA
S T Powell ,2001,Mathews,STP
N P Smiley ,2001,Mathews,NPS
T B Hoover,2001,Mathews,TBH
W H Shaw ,2001,Mathews,WHS
J S Johnston ,2001,Lynchburg,JSJ
R S Miller,2001,Lynchburg,RSM
M G Perrow ,2001,Lynchburg,MGP
J M Gamble,2001,Lynchburg,JMG
J W Updike ,2001,Lynchburg,JWU
Gary M Clemens,2002,Loudoun,GMC
Thomas D Horne,2002,Loudoun,TDH
James H Chamblin,2002,Loudoun,JHC
Burke F McCahill,2002,Loudoun,BFM
Jeffrey W Parker,2002,Loudoun,JWP
Robert C Wrenn,2002,Greensville,RCW
Robert G OHara ,2002,Greensville,RGO
James A Luke,2002,Greensville,JAL
Deborah F Longest,2004,King and Queen,DFL
Thomas B Hoover,2004,King and Queen,TBH
William H Shaw ,2004,King and Queen,WHS
Samuel T Powell ,2004,King and Queen,STP
N Prentis Smiley ,2004,King and Queen,NPS
Betsy B Woolridge,2002,Williamsburg/James City County,BBW
Samuel T Powell ,2002,Williamsburg/James City County,STP
Thomas B Hoover,2002,Williamsburg/James City County,TBH
William H Shaw ,2002,Williamsburg/James City County,WHS
N Prentis Smiley ,2002,Williamsburg/James City County,NPS
Allan C Burke,2002,Montgomery,ACB
Ray Wilson Grubbs,2002,Montgomery,RWG
Robert M D Turk,2002,Montgomery,RMDT
J Colin Campbell Sr,2002,Montgomery,JCCS
Colin R Gibb,2002,Montgomery,CRG
Duane E Mink,2002,Montgomery,DEM
Gordon F Willis ,2020,Fredericksburg,GFW
Charles S Sharp ,2020,Fredericksburg,CSS
Sarah L Deneke,2020,Fredericksburg,SLD
William E Glover,2020,Fredericksburg,WEG
John Overton Harris,2020,Fredericksburg,JOH
Herbert M Hewitt,2020,Fredericksburg,HMH
Patricia Kelly,2020,Fredericksburg,PK
Michael E Levy,2020,Fredericksburg,MEL
Roy Michael McKenney,2020,Fredericksburg,RMM
Ricardo Rigual,2020,Fredericksburg,RR
Victoria A B Willis,2020,Fredericksburg,VABW
Sue K Dudley,2004,Highland,SKD
Thomas H Wood,2004,Highland,THW
Humes J Franklin ,2004,Highland,HJF
Michael S Irvine,2004,Highland,MSI
Malfourd W  Bo Trumbo,2004,Highland,MWBT
William Allan Sharrett ,2020,Greensville,WAS
William Edward Tomko  ,2020,Greensville,WET
Carson E Saunders ,2020,Greensville,CES
Lee Grubbs Turner,2002,Goochland,LGT
F Ward Harkrader ,2002,Goochland,FWH
Daniel R Bouton,2002,Goochland,DRB
