Judge Full Name,Year,Court Name,Judge
Brett L Geisler,2004,Giles,BLG
Robert M D Turk,2004,Giles,RMDT
Pamela S Baskervill ,2014,Dinwiddie,PSB
Paul W Cella,2014,Dinwiddie,PWC
Joseph W Milam  ,2015,Franklin,JWM
Stacey W Moreau,2015,Franklin,SWM
Clyde H Perdue ,2015,Franklin,CHP
James J Reynolds,2015,Franklin,JJR
Annie L Williams,2004,Dinwiddie,ALW
Thomas  Warren,2004,Dinwiddie,TW
Pamela S Baskervill,2004,Dinwiddie,PSB
James F DAlton ,2004,Dinwiddie,JFD
Alice Hall,2003,Franklin,AH
William N Alexander ,2003,Franklin,WNA
Charles J Strauss,2003,Franklin,CJS
Joseph W Milam ,2003,Franklin,JWM
Colin R Gibb ,2015,Giles,CRG
Marcus H Long  ,2015,Giles,MHL
Bradley W Finch,2015,Giles,BWF
Brett L Geisler,2015,Giles,BLG
Josiah T Showalter ,2015,Giles,JTS
Robert M D Turk,2015,Giles,RMDT
Paul W Cella ,2015,Dinwiddie,PWC
Dennis M Martin,2015,Dinwiddie,DMM
Joseph M Teefey ,2015,Dinwiddie,JMT
Scarlet B Ratcliffe,2003,Giles,SBR
Colin R Gibb,2003,Giles,CRG
Ray Wilson Grubbs,2003,Giles,RWG
J Colin Campbell Sr,2003,Giles,JCCS
Brett L Geisler,2003,Giles,BLG
Robert M D Turk,2003,Giles,RMDT
Annie L Williams,2003,Dinwiddie,ALW
Thomas  Warren,2003,Dinwiddie,TW
Pamela S Baskervill,2003,Dinwiddie,PSB
James F DAlton ,2003,Dinwiddie,JFD
Alice Hall,2003,Franklin,AH
William N Alexander ,2003,Franklin,WNA
Charles J Strauss,2003,Franklin,CJS
Joseph W Milam ,2003,Franklin,JWM
Josiah T Showalter  ,2016,Giles,JTS
Bradley W Finch,2016,Giles,BWF
Brett L Geisler,2016,Giles,BLG
H Lee Harrell,2016,Giles,HLH
Marcus H Long ,2016,Giles,MHL
Robert M D Turk,2016,Giles,RMDT
Paul W Cella ,2016,Dinwiddie,PWC
Dennis M Martin,2016,Dinwiddie,DMM
Joseph M Teefey ,2016,Dinwiddie,JMT
Joseph W Milam  ,2016,Franklin,JWM
Stacey W Moreau,2016,Franklin,SWM
Clyde H Perdue ,2016,Franklin,CHP
James J Reynolds,2016,Franklin,JJR
Scarlet B Ratcliffe,2003,Giles,SBR
Colin R Gibb,2003,Giles,CRG
Ray Wilson Grubbs,2003,Giles,RWG
J Colin Campbell Sr,2003,Giles,JCCS
Brett L Geisler,2003,Giles,BLG
Robert M D Turk,2003,Giles,RMDT
Annie L Williams,2003,Dinwiddie,ALW
Thomas  Warren,2003,Dinwiddie,TW
Pamela S Baskervill,2003,Dinwiddie,PSB
James F DAlton ,2003,Dinwiddie,JFD
Alice Hall,2003,Franklin,AH
William N Alexander ,2003,Franklin,WNA
Joseph W Milam ,2003,Franklin,JWM
Charles J Strauss,2003,Franklin,CJS
Paul W Cella ,2017,Dinwiddie,PWC
Dennis M Martin Sr,2017,Dinwiddie,DMMS
Joseph M Teefey ,2017,Dinwiddie,JMT
Josiah T Showalter  ,2017,Giles,JTS
Bradley W Finch,2017,Giles,BWF
Brett L Geisler,2017,Giles,BLG
H Lee Harrell,2017,Giles,HLH
Marcus H Long ,2017,Giles,MHL
Robert M D Turk,2017,Giles,RMDT
