Judge,Year,Court
Hon Malcolm Booker Jr.,2006,Buckingham Circuit Court
Ms Donna Coffey Bosserman,2006,Augusta Juvenile & Domestic Relations District Court
Ms Donna Coffey Bosserman,2006,Staunton Juvenile & Domestic Relations District Court
Hon Peggy A. Bostic,2006,Craig Circuit Court
Ms Debra C. Bostic,2006,Radford Combined District and JD & R Court
Ms Teresa B. Bowden,2006,Isle of Wight Juvenile & Domestic Relations District Court
Mr Richard H. Bowling,2006,Richmond-Criminal General District Court
Ms Jane Carter Branson,2006,Westmoreland General District Court
Hon Jane L. Brown,2006,Nottoway Circuit Court
Ms Brenda C. Brown,2006,Suffolk General District Court
Ms Janet L. Brown,2006,Culpeper Combined District and JD & R Court
Ms Wanda E. Brownlee,2006,Richmond County Combined District and JD & R Court
Ms Jacqueline Preston Brubaker,2006,Franklin County General District Court
Ms Jacqueline Preston Brubaker,2006,Pittsylvania General District Court
Hon Diane Bruce,2006,Rappahannock Circuit Court
Ms Michele Joyce Bryant,2006,Patrick Juvenile & Domestic Relations District Court
Ms Kyra Lynn Bullock,2006,Spotsylvania General District Court
Hon Allan C. Burke,2006,Montgomery Circuit Court
Ms Lisa Demaris Burnett,2006,Wythe Juvenile & Domestic Relations District Court
Hon Karen A. Butler,2006,New Kent Circuit Court
Hon Helen Butts,2006,Clarke Circuit Court
Ms Marie S. Cagwin,2006,New Kent General District Court
Hon E. E. Callis III,2006,Mathews Circuit Court
Ms Martha L. Campbell,2006,Lexington/Rockbridge Combined District and JD & R Court
Hon Ray S. Campbell Jr.,2006,Caroline Circuit Court
Ms C. Sue Canady,2006,Portsmouth Juvenile & Domestic Relations District Court
Hon Darlene W. Carpenter,2006,Bath Circuit Court
Hon W. R. Carter Jr.,2006,Suffolk Circuit Court
Hon Gwynne J. Chatham,2006,Westmoreland Circuit Court
Ms Ellen Taylor Chiasson,2006,Prince George Combined District and JD & R Court
Ms Theresa A. Childress,2006,Roanoke County General District Court
Ms Judith C. Childress,2006,Pulaski Juvenile & Domestic Relations District Court
Ms Mary R. Childress,2006,Nottoway Combined District and JD & R Court
Ms Deborah R. Childress,2006,Dickenson Combined District and JD & R Court
Ms Monica Arlene Christian,2006,Clarke General District Court
Hon Gail P. Clayton,2006,Surry Circuit Court
Hon Gary M. Clemens,2006,Loudoun Circuit Court
Ms S. Lynn Coates,2006,Westmoreland Juvenile & Domestic Relations District Court
Hon Christopher W. Coleman,2006,Buena Vista Circuit Court
Ms Veresia W. Coleman,2006,Halifax General District Court
Hon E. E. Coleman Jr.,2006,Mecklenburg Circuit Court
Ms Ellen S. Collier,2006,Greene Combined District and JD & R Court
Ms Connie S. Comer,2006,Tazewell General District Court
Hon Dollie M. Compton,2006,Russell Circuit Court
Hon Robert W. Conner,2006,Halifax Circuit Court
Ms Heather Dawn Cooper,2006,Lynchburg Juvenile & Domestic Relations District Court
Hon Samuel H. Cooper Jr.,2006,Accomack Circuit Court
Hon Janice J. Corbin,2006,Culpeper Circuit Court
Ms Cindy S. Cornwell,2006,Madison Combined District and JD & R Court
Hon Wayne M. Cosby,2006,Southampton Circuit Court
Hon Kathy P. Crane,2006,Washington Circuit Court
Hon Chance Crawford,2006,Salem Circuit Court
Ms Deborah K. Daughtrey,2006,Richmond Juvenile & Domestic Relations District Court
Hon Rex A. Davis,2006,Newport News Circuit Court
Hon John B. Davis,2006,Augusta Circuit Court
Ms Dee Balderson Davis,2006,Essex Combined District and JD & R Court
Ms Patricia Marie Davis,2006,Rappahannock Combined District and JD & R Court
Hon Bevill M. Dean,2006,Richmond Circuit Court
Hon Bevill M. Dean,2006,Richmond Manchester Circuit Court
Hon Barbara G. Decatur,2006,Stafford Circuit Court
Ms Edna Sparrer DeChristopher,2006,York Juvenile & Domestic Relations District Court
Ms V. Jane Dorton,2006,Wise Juvenile & Domestic Relations District Court
Ms Ellen K. Douglas,2006,Northumberland General District Court
Ms Kelly Anne Douglas,2006,New Kent Juvenile & Domestic Relations District Court
Hon Sue K. Dudley,2006,Highland Circuit Court
Hon Marie C. Durrer,2006,Greene Circuit Court
Mr Michael Dwayne Edwards,2006,Scott Combined District and JD & R Court
Mr Charles Thomas Elliott,2006,Henrico Juvenile & Domestic Relations District Court
Ms Robin Lynne Elliott,2006,Fluvanna Combined District and JD & R Court
Hon Machelle J. Eppes,2006,Prince Edward Circuit Court
Hon Gordon F. Erby,2006,Lunenburg Circuit Court
Ms Patsy A. Ewell,2006,Newport News Juvenile & Domestic Relations District Court
Hon Stuart B. Fallen,2006,Charlotte Circuit Court
Ms Hilda W. Ferguson,2006,Charlotte Juvenile & Domestic Relations District Court
Ms Sue B. Flanagan,2006,Washington Juvenile & Domestic Relations District Court
Ms Jennifer Watson Flanagan,2006,Fairfax County Juvenile & Domestic Relations District Court
Ms Sue B. Flanagan,2006,Bristol Juvenile & Domestic Relations District Court
Hon Rosa S. Forrester,2006,Richmond County Circuit Court
Ms Frances M. Fountain,2006,Sussex Combined District and JD & R Court
Ms Margaret French,2006,Alexandria General District Court
Hon John T. Frey,2006,Fairfax Circuit Court
Ms Janet T. Gallaher,2006,King and Queen Juvenile & Domestic Relations District Court
Ms Janet T. Gallaher,2006,King William Juvenile & Domestic Relations District Court
Hon Paul C. Garrett,2006,Charlottesville Circuit Court
Hon Susan C. Gasperini,2006,Patrick Circuit Court
Ms Carol Ann Gaunt,2006,Page General District Court
Hon C. Ann Gentry,2006,Gloucester Circuit Court
Hon Gerald A. Gibson,2006,Danville Circuit Court
Ms Melissa B. Gil,2006,Amelia Combined District and JD & R Court
Ms Nora A. Green,2006,Henry Juvenile & Domestic Relations District Court
Ms Edna S. Griffin,2006,Washington General District Court
Ms Denise M. Hain,2006,Newport News-Civil General District Court
Hon Alice Hall,2006,Franklin Circuit Court
Ms Opal R. Hall,2006,Martinsville General District Court
Ms Opal R. Hall,2006,Henry General District Court
Ms Kathleen Hall,2006,Falls Church Combined District and JD & R Court
Ms D. Carol Hamer,2006,Wythe General District Court
Hon Brenda S. Hamilton,2006,Roanoke City Circuit Court
Ms Dorothy P. Hamlet,2006,Appomattox General District Court
Ms Barbara S. Hamm,2006,Carroll Juvenile & Domestic Relations District Court
Mr Steven Wayne Hammock,2006,Lunenburg Combined District and JD & R Court
Ms Phyllis P. Hamric,2006,Chesapeake General District Court
Hon Frank D. Hargrove Jr.,2006,Hanover Circuit Court
Hon L. Wayne Harper,2006,Rockingham Circuit Court
Patricia Harrington,2006,Supreme Court of Virginia
Ms Deborah A. Hatcher,2006,Surry Combined District and JD & R Court
Hon H. F. Haymore Jr.,2006,Pittsylvania Circuit Court
Ms Wetawna G. Hays,2006,Prince William General District Court
Ms Frances H. Hedrick,2006,Prince William Juvenile & Domestic Relations District Court
Ms Carolyn Z. Helgeson,2006,Cumberland Combined District and JD & R Court
Hon Vickie Stone Helmstutler,2006,Henry Circuit Court
Mr David Michael Hicks,2006,Richmond Manchester General District Court
Ms Debra A. Hill,2006,Norfolk Juvenile & Domestic Relations District Court
Ms Brenda Smart Hines,2006,Patrick General District Court
Hon Rebecca P. Hogan,2006,Frederick Circuit Court
Ms Lizabeth H. Holdaway,2006,Grayson Combined District and JD & R Court
Hon Edith K. Holmes,2006,Charles City Circuit Court
Hon Carolyn H. Honeycutt,2006,Carroll Circuit Court
Hon Susan R. Hopkins,2006,Louisa Circuit Court
Hon Hayden H. Horney,2006,Wythe Circuit Court
Ms Sammie R. Horton,2006,Lee Combined District and JD & R Court
Mr Carlton L. Hudson,2006,Chesterfield General District Court
Hon Deborah E. Hughes,2006,Campbell Circuit Court
Ms Wendy Sides Hughes,2006,Chesterfield Juvenile & Domestic Relations District Court
Ms Judy W. Hupman,2006,Highland Combined District and JD & R Court
Ms Susan S. Hutchison,2006,Alleghany Combined District and JD & R Court
Ms Donna C. Hyler,2006,Danville Juvenile & Domestic Relations District Court
Ms Rebecca D. Inge,2006,Mecklenburg Juvenile & Domestic Relations District Court
Ms Judy P. Jamerson,2006,Buckingham Combined District and JD & R Court
Hon Lynn Jenkins,2006,York County Poquoson Circuit Court
Ms Christalyn Mitchell Jett,2006,Spotsylvania Juvenile & Domestic Relations District Court
Hon Rebecca I. Johnson,2006,Bland Circuit Court
Ms Traci L. Johnson,2006,Northampton Circuit Court
Ms Doris J. Johnson,2006,Roanoke County Juvenile & Domestic Relations District Court
Ms Belinda J. Jones,2006,Southampton Combined District and JD & R Court
Ms Betty W. Justis,2006,Appomattox Juvenile & Domestic Relations District Court
Hon Constance Kennedy,2006,Lancaster Circuit Court
Hon J. Jack Kennedy Jr.,2006,Wise Circuit Court
Ms Pamela S. Kidwell,2006,Warren General District Court
Hon Bishop Knott Jr.,2006,Prince George Circuit Court
Ms Daina L. Kubasak,2006,Franklin County Juvenile & Domestic Relations District Court
Hon William E. Laine Jr.,2006,Isle of Wight Circuit Court
Ms Nancy L. Lake,2006,Fairfax County General District Court
Ms Nancy L. Lake,2006,Fairfax City General District Court
Ms Tami A. Leonard,2006,Hanover Juvenile & Domestic Relations District Court
Ms Beverly J. Lewis,2006,Amherst General District Court
Ms Cynthia Owen Lewis,2006,Pittsylvania Juvenile & Domestic Relations District Court
Ms Ann B. Lloyd,2006,Winchester/Frederick Juvenile & Domestic Relations District Court
Ms Ann B. Lloyd,2006,Frederick/Winchester Juvenile & Domestic Relations District Court
Ms Nancy J. Long,2006,Augusta General District Court
Ms Nancy J. Long,2006,Staunton General District Court
Hon Deborah F. Longest,2006,King and Queen Circuit Court
Ms Linda L. Lunceford,2006,Fauquier Juvenile & Domestic Relations District Court
Hon David C. Mabie,2006,Prince William Circuit Court
Ms Patricia A. Maher-Wade,2006,Loudoun Juvenile & Domestic Relations District Court
Ms Elaine E. Maitland,2006,Brunswick Combined District and JD & R Court
Hon Shelby J. Marshall,2006,Albemarle Circuit Court
Ms Ann C. Martin,2006,Smyth General District Court
Hon Charles V. Mason,2006,King George Circuit Court
Ms Katherine L. Mason,2006,Campbell General District Court
Ms Nancy H. Massie,2006,Nelson Juvenile & Domestic Relations District Court
Ms Dorothy B. Mathers,2006,Northumberland Juvenile & Domestic Relations District Court
Ms Dorothy B. Mathers,2006,Lancaster Juvenile & Domestic Relations District Court
Hon William E. Maxey Jr.,2006,Powhatan Circuit Court
Mr Andre Henry Mayfield,2006,Virginia Beach General District Court
Ms Shelby Mayo,2006,Charlottesville General District Court
Hon Roy C. Mayo III,2006,Amherst Circuit Court
Cynthia L. McCoy,2006,Court of Appeals of Virginia
Hon Steven A. McGraw Sr.,2006,Roanoke County Circuit Court
Ms Brenda R. McWilliams,2006,Suffolk Juvenile & Domestic Relations District Court
Ms Pamela M. Meadows,2006,Hampton General District Court
Ms Karen Sparrow Merritt,2006,Northampton General District Court
Hon Paul M. Metzger,2006,Spotsylvania Circuit Court
Ms Betty B. Miller,2006,Williamsburg/James City County Juvenile & Domestic Relations District Court
Ms Barbara B Miller,2006,Orange Combined District and JD & R Court
Ms Joan M. Millward,2006,Fredericksburg Juvenile & Domestic Relations District Court
Ms Glenda H. Minga,2006,Isle of Wight General District Court
Hon Sharron S. Mitchell,2006,Fredericksburg Circuit Court
Hon Faye W. Mitchell,2006,Chesapeake Circuit Court
Ms Joyce S. Mitchell,2006,King and Queen General District Court
Ms Joyce S. Mitchell,2006,King William General District Court
Ms Phyllis M. Modisett,2006,Harrisonburg/Rockingham Juvenile & Domestic Relations District Court
Hon Tommy L. Moore,2006,Botetourt Circuit Court
Hon Cynthia P. Morrison,2006,Portsmouth Circuit Court
Ms Pollyanna P. Myers,2006,Montgomery General District Court
Ms Brenda J. Nance,2006,Franklin City Combined District and JD & R Court
Mr Thomas Edward Neary,2006,Portsmouth General District Court
Ms Anne P. Nicholson,2006,Accomack General District Court
Hon Patricia M. Norman,2006,King William Circuit Court
Ms Rosemary R. North,2006,Nelson General District Court
Ms Jean E O'Brien,2006,Danville General District Court
Hon Carol Ownby,2006,Cumberland Circuit Court
Hon Larry B. Palmer,2006,Lynchburg Circuit Court
Hon D. Bruce Patterson,2006,Rockbridge Circuit Court
Ms Rita R. Payne,2006,Newport News-Criminal General District Court
Ms Sheri L. Pearson,2006,Stafford General District Court
Ms Yvette M. Pennington,2006,Giles Combined District and JD & R Court
Mrs Paula Jean Perkins,2006,Bristol General District Court
Hon Wendell G. Peters,2006,Floyd Circuit Court
Hon Bouson E. Peterson Jr.,2006,Fluvanna Circuit Court
Ms Phyllis R. Plyler,2006,Waynesboro Juvenile & Domestic Relations District Court
Ms Sabrina Herzig Powell,2006,Charlotte General District Court
Ms Terri Powers,2006,Pulaski General District Court
Hon Ashby R. Pritchett,2006,Martinsville Circuit Court
Ms Kelly A. Pritchett,2006,Craig Combined District and JD & R Court
Ms Gail O. Proffitt,2006,Louisa Combined District and JD & R Court
Hon Kay H. Rackley,2006,Hopewell Circuit Court
Ms Sandra K. Ramey,2006,Fauquier General District Court
Hon Scarlet B. Ratcliffe,2006,Giles Circuit Court
Ms Catherine Hupp Ratliff,2006,Halifax Juvenile & Domestic Relations District Court
Ms Judith D. Reed,2006,Hampton Juvenile & Domestic Relations District Court
Ms Teresa D. Renz,2006,Martinsville Juvenile & Domestic Relations District Court
Ms Juanita M. Rice,2006,Buena Vista Combined District and JD & R Court
Ms Janice Ann Rife,2006,Buchanan Combined District and JD & R Court
Ms Nancy E. Roach,2006,Greensville Combined District and JD & R Court
Ms Nancy E. Roach,2006,Emporia Combined District and JD & R Court
Ms Carolyn W. Robbins,2006,Salem Combined District and JD & R Court
Hon Thomas E. Roberts,2006,Staunton Circuit Court
Ms Connie Cheryl Roberts,2006,Tazewell Juvenile & Domestic Relations District Court
Hon Terry G. Rohr,2006,Bristol Circuit Court
Hon George E. Schaefer,2006,Norfolk Circuit Court
Mr Royal P. Schmidt Jr.,2006,Fredericksburg General District Court
Hon Benjamin O. Scott,2006,Petersburg Circuit Court
Hon Edward Semonian Jr.,2006,Alexandria Circuit Court
Ms Muriel G. Shackelford,2006,Mathews General District Court
Ms Muriel G. Shackelford,2006,Middlesex General District Court
Ms Barbara C. Shaw,2006,Gloucester General District Court
Ms June B. Silveira,2006,Prince Edward Combined District and JD & R Court
Ms Bonnie L. Simmons,2006,Harrisonburg/Rockingham General District Court
Ms Beneatha B. Simmons,2006,Petersburg Juvenile & Domestic Relations District Court
Ms Bonnie D. Simmons,2006,Botetourt Combined District and JD & R Court
Hon Jennifer R. Sims,2006,Warren Circuit Court
Hon Tina E. Sinnen,2006,Virginia Beach Circuit Court
Ms Jacqueline D. Sites,2006,Arlington Juvenile & Domestic Relations District Court
Ms Donna D. Slade,2006,Colonial Heights Combined District and JD & R Court
Hon Linda Batchelor Smith,2006,Hampton Circuit Court
Hon Yvonne G. Smith,2006,Henrico Circuit Court
Ms Carla F. Smith,2006,Bedford General District Court
Ms Faye R. Smith,2006,Lancaster General District Court
Hon Judy Stevens Smythers,2006,Nelson Circuit Court
Ms Sandra B. Sneade,2006,Dinwiddie Combined District and JD & R Court
Ms Terry M. Southworth,2006,Caroline General District Court
Ms Jean C. Sparks,2006,Wise/Norton General District Court
Mr Lawrence George Sprader,2006,Henrico General District Court
Ms Pamela A. Springer,2006,Amherst Juvenile & Domestic Relations District Court
Mr Steven Robert Spurr,2006,Arlington General District Court
Hon Stacy L. Stafford,2006,Colonial Heights Circuit Court
Hon V. Earl Stanley Jr.,2006,Brunswick Circuit Court
Ms Tiffany R. Sterling,2006,Mathews Juvenile & Domestic Relations District Court
Ms Tiffany R. Sterling,2006,Gloucester Juvenile & Domestic Relations District Court
Ms Tiffany R. Sterling,2006,Middlesex Juvenile & Domestic Relations District Court
Ms Phyllis L. Stewart,2006,Albemarle General District Court
Ms Janet T. Stinnett,2006,Lynchburg General District Court
Ms Joyce A. Street,2006,Petersburg General District Court
Ms Barbara J. Studebaker,2006,York General District Court
Hon Charles T. Sturgill,2006,Grayson Circuit Court
Ms Brenda T. Sumner,2006,Williamsburg/James City County General District Court
Hon Joseph H. Tate,2006,Dickenson Circuit Court
Ms Vicki E. Tate,2006,Galax Combined District and JD & R Court
Hon Mark A. (Bo) Taylor,2006,Scott Circuit Court
Ms Tammy Tollerson Taylor,2006,Mecklenburg General District Court
Ms Nikki Wymer Taylor,2006,Shenandoah Combined District and JD & R Court
Hon J. Steve Thomas Sr.,2006,Northumberland Circuit Court
Ms Lorraine Creef Throckmorton,2006,Chesapeake Juvenile & Domestic Relations District Court
Ms Nancy Lynn Tierney,2006,King George Combined District and JD & R Court
Hon Linda S. Timmons,2006,Orange Circuit Court
Hon Lee G. Turner,2006,Goochland Circuit Court
Ms Brenda L. Vance,2006,Winchester/Frederick General District Court
Ms Brenda L. Vance,2006,Frederick/Winchester General District Court
Ms Kathy F. Vance,2006,Russell Combined District and JD & R Court
Hon Zelda S. Vaughn,2006,Radford Circuit Court
Ms Connie M. Viar,2006,Montgomery Juvenile & Domestic Relations District Court
Ms Judith S. Waddell,2006,Loudoun General District Court
Ms Alice Price Waddy,2006,Charlottesville Juvenile & Domestic Relations District Court
Ms Alice Price Waddy,2006,Albemarle Juvenile & Domestic Relations District Court
Hon Peggy W. Walton,2006,Middlesex Circuit Court
Hon Jimmy L. Warren,2006,Smyth Circuit Court
Ms Barbara Jean Watkins,2006,Charles City Combined District and JD & R Court
Hon Caroline Watts,2006,Madison Circuit Court
Ms Donna Janette Webb,2006,Carroll General District Court
Mr David Carl Wells,2006,Roanoke City Juvenile & Domestic Relations District Court
Ms Dianne Henley White,2006,Goochland Combined District and JD & R Court
Ms Dorothy C. Whitt,2006,Smyth Juvenile & Domestic Relations District Court
Hon Terry H. Whittle,2006,Winchester Circuit Court
Hon Gary M. Williams,2006,Sussex Circuit Court
Hon Barbara R. Williams,2006,Appomattox Circuit Court
Hon Annie L. Williams,2006,Dinwiddie Circuit Court
Ms Phyllis P. Williams,2006,Newport News-Traffic General District Court
Ms Francine W. Williams,2006,Accomack Juvenile & Domestic Relations District Court
Ms Francine W. Williams,2006,Northampton Juvenile & Domestic Relations District Court
Mrs Carolyn Kates Williams,2006,Virginia Beach Juvenile & Domestic Relations District Court
Ms Dawn C. Williams,2006,Campbell Juvenile & Domestic Relations District Court
Hon Marilyn Wilson,2006,Amelia Circuit Court
Hon C. R. Wilson,2006,Page Circuit Court
Ms Edith P. Winters,2006,Hopewell Combined District and JD & R Court
Hon Michael D. Wolfe,2006,Alleghany Circuit Court
Hon Betsy B. Woolridge,2006,James City County/Williamsburg Circuit Court
Hon Betsy B. Woolridge,2006,Williamsburg/James City County Circuit Court
Ms Sara Belle Byrd Worsham,2006,Bath Combined District and JD & R Court
Hon Judy L. Worthington,2006,Chesterfield Circuit Court
Hon Robert C. Wrenn,2006,Greensville Circuit Court
Ms Page B. Wright,2006,Hanover General District Court
Mr Irving C. Wright,2006,Richmond-Traffic General District Court
,2006,Unknown
Mr Fred L. Jackson,2006,First Judicial District
Mr Robert S. Hill,2006,Second Judicial District
Ms Loretta Hope Reese,2006,Third Judicial District
Ms Beth B. Turnbull,2006,Fourth Judicial District
Mr Raymond H. Swartz,2006,Fifth Judicial District
Mr David L Harless,2006,Sixth Judicial District
Mr Valla Vonga Olliver,2006,Seventh Judicial District
Ms Patricia E. Massenburg,2006,Eighth Judicial District
Mr William Joseph Poggione,2006,Ninth Judicial District
Mr William I. Oakes,2006,Tenth Judicial District
Ms Sherry Joy Grizzard,2006,Eleventh Judicial District
Mr William W. Bradham,2006,Twelfth Judicial District
Ms Deborah   Meade-Jackson,2006,Thirteenth Judicial District
Mr John E. Mehfoud,2006,Fourteenth Judicial District
Mr Phillip R. Hemming,2006,Fifteenth Judicial District
Ms Cheryl Anita Thompson,2006,Sixteenth Judicial District
Mr Robert D. Hellyer,2006,Seventeenth Judicial District
Mr George Franklin Ball,2006,Eighteenth Judicial District
Mr Claude J. Beheler,2006,Nineteenth Judicial District
Mr Lawrence D. Black,2006,Twentieth Judicial District
Ms Ann M.S. Hylton,2006,Twenty-First Judicial District
Ms Joyce Williamson Crews,2006,Twenty-Second Judicial Dist.
Mr Kozuo   Webb,2006,Twenty-Third Judicial District
Mr John Samuel Payne,2006,Twenty-Fourth Judicial Dist.
Mr Ray B. Fitzgerald,2006,Twenty-Fifth Judicial District
Ms Monica Lynne Martin,2006,Twenty-Sixth Judicial District
Mr George F. VanHoy,2006,Twenty-Eighth Judicial Dist.
Mr Edward A. Matney,2006,Twenty-Ninth Judicial District
Ms Ruth E. Hale,2006,Thirtieth Judicial District
Mr Vincent A. Tassa,2006,Thirty-First Judicial District
Mr William Robert Walman,2006,Thirty-Second Judicial Dist.
,2007,Unknown
Hon G. Steven Agee,2007,Supreme Court of Virginia
Hon Leslie M. Alden,2007,Fairfax Circuit Court
Hon John Richard Alderman,2007,Hanover Circuit Court
Hon William N. Alexander II,2007,P.O. Box 601
Hon Michael Coghlan Allen,2007,Chesterfield Circuit Court
Hon James F. Almand,2007,Arlington Circuit Court
Hon Joanne F. Alper,2007,Arlington Circuit Court
Hon Rossie D. Alston Jr.,2007,Circuit Court Chambers
Hon William Chapman Andrews III,2007,Hampton Circuit Court
Hon Rosemarie P. Annunziata,2007,Court of Appeals of Virginia
Hon Jonathan M. Apgar,2007,P.O. Box 211
Hon R. Morgan Armstrong,2007,Henry General District Court
Hon J. Gregory Ashwell,2007,Fauquier Juvenile & Domestic Relations District Court
Hon Isabel Hall Atlee,2007,Gloucester Juvenile & Domestic Relations District Court
Hon Richard Y Atlee Jr.,2007,York Juvenile & Domestic Relations District Court
Hon Daniel T. Balfour,2007,Henrico Circuit Court
Hon Rufus A. Banks Jr.,2007,Chesapeake Juvenile & Domestic Relations District Court
Hon William G. Barkley,2007,Albemarle General District Court
Hon Henry A. Barringer,2007,Tazewell Juvenile & Domestic Relations District Court
Hon Pamela S. Baskervill,2007,Petersburg Circuit Court
Hon J. Martin Bass,2007,P.O. Box 895
Hon Randolph A. Beales,2007,Court of Appeals of Virginia
Hon David H. Beck,2007,Spotsylvania Juvenile & Domestic Relations District Court
Hon William Alan Becker,2007,Prince William Juvenile & Domestic Relations District Court
Hon Randy I. Bellows,2007,Fairfax Circuit Court
Hon Frank L. Benser,2007,Caroline General District Court
Hon Gerrit W. Benson,2007,Virginia Beach Juvenile & Domestic Relations District Court
Hon Ronald Everett Bensten,2007,Newport News Juvenile & Domestic Relations District Court
Hon James W. Benton Jr.,2007,Court of Appeals of Virginia
Hon Edward DeJ. Berry,2007,Albemarle Juvenile & Domestic Relations District Court
Hon Garland L. Bigley,2007,Dinwiddie General District and J&DR District Court
Hon Harold A. Black,2007,Bedford General District Court
Hon M. Keith Blankenship,2007,Wythe Juvenile & Domestic Relations District Court
Hon Richard S. Blanton,2007,P.O. Box 351
Hon Randall M. Blow,2007,Virginia Beach Juvenile & Domestic Relations District Court
Hon J. D. Bolt,2007,Galax General District and J&DR District Court
Hon Joseph P. Bounds,2007,Roanoke City Juvenile & Domestic Relations District Court
Hon Daniel R. Bouton,2007,Orange Circuit Court
Hon Robert S. Brewbaker,2007,Suffolk Juvenile & Domestic Relations District Court
Hon Lynn S. Brice,2007,Chesterfield Juvenile & Domestic Relations District Court
Hon William D. Broadhurst,2007,P.O. Box 211
Hon Pamela L. Brooks,2007,Loudoun Juvenile & Domestic Relations District Court
Hon Deborah V. Bryan,2007,Virginia Beach Juvenile & Domestic Relations District Court
Hon J. Stephen Buis,2007,Richmond Juvenile & Domestic Relations District Court
Hon Rudolph Bumgardner III,2007,Court of Appeals of Virginia
Hon Harold W. Burgess Jr.,2007,Chesterfield Juvenile & Domestic Relations District Court
Hon Francis W. Burkart III,2007,Roanoke City General District Court
Hon R. Edwin Burnette Jr.,2007,Lynchburg General District Court
Hon Theodore J. Burr Jr.,2007,Greensville General District and J&DR District Court
Hon J. Frank Buttery Jr.,2007,Loudoun General District Court
Hon James A. Cales Jr.,2007,Portsmouth Circuit Court
Hon Louis K. Campbell,2007,Botetourt General District and J&DR District Court
Hon Richard B. Campbell,2007,Richmond Juvenile & Domestic Relations District Court
Hon Samuel E. Campbell,2007,P.O. Box 280
Hon Andrew Joseph Canada Jr.,2007,Virginia Beach Circuit Court
Hon Julia Taylor Cannon,2007,Loudoun General District Court
Hon Joseph R. Carico,2007,Wise Circuit Court
Hon M. Randolph Carlson II,2007,Norfolk Juvenile & Domestic Relations District Court
Hon Edward K. Carpenter,2007,Goochland General District and J&DR District Court
Hon Thomas W. Carpenter,2007,Newport News Juvenile & Domestic Relations District Court
Hon Gayl Branum Carr,2007,Fairfax County Juvenile & Domestic Relations District Court
Hon Harry L. Carrico,2007,Supreme Court of Virginia
Hon Lucretia A. Carrico,2007,Petersburg General District Court
Hon Robert R. Carter,2007,Chesapeake General District Court
Hon Michael Joseph Cassidy,2007,Fairfax County General District Court
Hon Bradley B. Cavedo,2007,Richmond Circuit Court
Hon Teresa M. Chafin,2007,Tazewell Circuit Court
Hon James H. Chamblin,2007,Loudoun Circuit Court
Hon David Eugene Cheek Sr.,2007,Richmond-Criminal General District Court
Hon H. Lee Chitwood,2007,Pulaski Juvenile & Domestic Relations District Court
Hon Martin F. Clark Jr.,2007,P.O. Box 762
Hon Dorothy H. Clarke,2007,1425 North Courthouse Road
Hon Joseph M. Clarke II,2007,Roanoke City Juvenile & Domestic Relations District Court
Hon Glenn L. Clayton II,2007,Fairfax County Juvenile & Domestic Relations District Court
Hon Jean Harrison Clements,2007,Court of Appeals of Virginia
Hon Virginia L. Cochran,2007,Virginia Beach General District Court
Hon Sam W. Coleman III,2007,Court of Appeals of Virginia
Hon H. Vincent Conway Jr.,2007,2500 Washington Avenue
Hon Frederick H. Creekmore Sr.,2007,307 Albemarle Drive
Hon Joel P. Crowe,2007,Portsmouth Juvenile & Domestic Relations District Court
Hon John R. Cullen,2007,Culpeper Circuit Court
Hon Joel C. Cunningham,2007,Halifax General District Court
Hon James F. D'Alton Jr.,2007,Petersburg Circuit Court
Hon Philip V. Daffron,2007,Chesterfield General District Court
Hon Gerald F. Daltan,2007,Stafford Juvenile & Domestic Relations District Court
Hon Kimberly J. Daniel,2007,Fairfax County Juvenile & Domestic Relations District Court
Hon S. Clark Daugherty,2007,Room 160
Hon Bonnie C. Davis,2007,Chesterfield Juvenile & Domestic Relations District Court
Hon J. Maston Davis,2007,Richmond County General District and J&DR District Court
Hon Mark S. Davis,2007,Portsmouth Circuit Court
Hon Stewart P. Davis,2007,Fairfax County General District Court
Hon Nolan B. Dawkins,2007,Alexandria Juvenile & Domestic Relations District Court
Hon Susan N. Deatherage,2007,Henry Juvenile & Domestic Relations District Court
Hon Margaret W. Deglau,2007,Henrico Juvenile & Domestic Relations District Court
Hon Rodham T. Delk Jr.,2007,P.O. Box 1814
Hon Sarah L. Deneke,2007,Stafford General District Court
Hon Calvin R. Depew Jr.,2007,Virginia Beach General District Court
Hon Ray W. Dezern Jr.,2007,Norfolk General District Court
Hon Robert P. Doherty Jr.,2007,Salem Circuit Court
Hon Charles N. Dorsey,2007,P.O. Box 211
Hon Chadwick S. Dotson,2007,Wise/Norton General District Court
Hon Robert H. Downer Jr.,2007,Charlottesville General District Court
Hon Jay Edward Dugger,2007,Hamp;ton Juvenile & Domestic Relations District Court
Hon Randal J. Duncan,2007,Montgomery General District Court
Hon Marvin H. Dunkum,2007,Buckingham General District and J&DR District Court
Hon Carl Edward Eason Jr.,2007,P.O. Box 1814
Hon Robert B. Edwards,2007,Isle of Wight General District Court
Hon Larry G. Elder,2007,Court of Appeals of Virginia
Hon Joseph J. Ellis,2007,Spotsylvania Juvenile & Domestic Relations District Court
Hon George C. Fairbanks IV,2007,Williamsburg/James City County Juvenile & Domestic Relations District Court
Hon John M. Farmer,2007,Dickenson General District and J&DR District Court
Hon Kenneth W. Farrar,2007,Lynchburg Juvenile & Domestic Relations District Court
