Judge,Year,Court
Hon Aundria Deloris Foster,2005,2500 Washington Avenue
Hon Robert P. Frank,2005,Court of Appeals of Virginia
Hon Humes J. Franklin Jr.,2005,P. O. Box 1286
Hon Isaac St. C. Freeman,2005,East Main & Court Streets
Hon Junius P. Fulton III,2005,100 St. Paul's Boulevard
Hon Suzanne Kuczko Fulton,2005,P. O. Box 829
Hon Barbara J. Gaden,2005,John Marshall Courts Building
Hon Thomas E. Gallahue,2005,4110 Chain Bridge Road
Hon J. Michael Gamble,2005,P. O. Box 462
Hon John A. Garrett,2005,P. O. Box 27032
Hon Brett L. Geisler,2005,P. O. Box 218
Hon E. Robert Giammittorio,2005,P. O. Box 20206
Hon Colin R. Gibb,2005,"45 Third Street, NW"
Hon Herbert Cogbill Gill Jr.,2005,P.O. Box 57
Hon Larry E. Gilman,2005,P. O. Box 86
Hon Paul F. Gluchowski,2005,9311 Lee Avenue
Hon S. Bernard Goodwyn,2005,307 Albemarle Drive
Hon G. Carter Greer,2005,P. O. Box 149
Hon Charles D. Griffith Jr.,2005,100 St. Paul's Boulevard
Hon Teena D. Grodner,2005,4000 Chain Bridge Road
Hon Ray Wilson Grubbs,2005,"One East Main Street, Room 418"
Hon Donald M. Haddock,2005,Judges' Chambers
Hon James W. Haley Jr.,2005,P. O. Box 69
Hon William D. Hamblen,2005,Circuit Court Chambers
Hon Catherine C. Hammond,2005,P. O. Box 27032
Hon Edward W. Hanson Jr.,2005,2425 Nimmo Parkway
Hon George W. Harris Jr.,2005,P. O. Box 997
Hon Lee A. Harris Jr.,2005,P. O. Box 27032
Hon G. Blair Harry,2005,P. O. Box 1648
Hon Leroy Rountree Hassell Sr.,2005,Supreme Court of Virginia
Hon Timothy J. Hauler,2005,P.O. Box 57
Hon William O. Hawkins,2005,800 East City Hall Avenue
Hon William D. Heatwole,2005,P. O. Box 1028
Hon Jerry Hendrick Jr.,2005,P.O. Box 520
Hon Karen A. Henenberg,2005,1425 North Courthouse Road
Hon Gary A. Hicks,2005,P. O. Box 27032
Hon Marvin C. Hillsman Jr.,2005,"53 Court Square, Second Floor"
Hon William H. Hodges,2005,Court of Appeals of Virginia
Hon Edward L. Hogshire,2005,315 East High Street
Hon Anne B. Holton,2005,Oliver Hill Courts Building
Hon Thomas B. Hoover,2005,P. O. Box 98
Hon Thomas D. Horne,2005,P. O. Box 550
Hon W. Dale Houff,2005,116 South Court Street
Hon Edward Lewis Hubbard,2005,2500 Washington Avenue
Hon W. Edward Hudgins Jr.,2005,2425 Nimmo Parkway
Hon Melvin R. Hughes Jr.,2005,400 North Ninth Street
Hon James E. Hume,2005,27 East Tabb Street
Hon Robert J. Humphreys,2005,Court of Appeals of Virginia
Hon Dennis Lee Hupp,2005,P. O. Box 406
Hon Pamela E. Hutchens,2005,2425 Nimmo Parkway
Hon Christopher W. Hutton,2005,P. O. Box 40
