Judge
""
Hon Elizabeth B. Lacy
Hon James V. Lane
Hon Robert D. Laney
Hon Joseph A. Leafe
Hon William H. Ledbetter Jr.
Hon Donald W. Lemons
Hon Louis R. Lerner
Hon R. Larry Lewis
Hon William R. Light
Hon Vincent Austin Lilley
Hon Charles F. Lincoln
Hon William H. Logan Jr.
Hon Eugene E. Lohman
Hon R. Bruce Long
Hon C. Randall Lowe
Hon Frederick B. Lowe
Hon Victor V. Ludwig
Hon Esther Wiggins Lyles
Hon Kathleen H. MacKay
Hon Stephen C. Mahan
Hon Theodore J. Markow
Hon Ronald Harris Marks
Hon Everett Armstrong Martin Jr.
Hon George Mason III
Hon Joseph P. Massey
Hon Alfred O. Masters Jr.
Hon James S. Mathews
Hon Charles James Maxfield
Hon Burke F. McCahill
Hon Elizabeth A. McClanahan
Hon Teresa N. McCrimmon
Hon Richard J. McCue
Hon Donald Patrick McDonough
Hon John J. McGrath Jr.
Hon A. Lee McGratty
Hon Michael P. McWeeny
Hon David A. Melesco
Hon Joseph W. Milam Jr.
Hon B. Bryan Milbourne
Hon Burnett Miller III
Hon Leroy Francis Millette Jr.
Hon Gary A. Mills
Hon William J. Minor Jr.
Hon John Gregory Mooney
Hon Becky J. Moore
Hon James A. Moore
Hon Michael Lee Moore
Hon William R. Moore Jr.
Hon William S. Moore Jr.
Hon Stacey W. Moreau
Hon S. Lee Morris
Hon John C. Morrison Jr.
Hon Johnny E. Morrison
Hon Norman deV. Morrison
Hon Roger L. Morton
Hon J. Leyburn Mosby Jr.
Hon Thomas Leroy Murphey
Hon Mitchell I. Mutnick
Hon S. Anderson Nelson
Hon William T. Newman Jr.
Hon R. Terrence Ney
Hon Kenneth Wilson Nye
Hon Mary Grace O'Brien
Hon Kimberly B. O'Donnell
Hon Ian Michael O'Flaherty
Hon Eileen Anita Olds
Hon Leslie M. Osborn
Hon Nelson T. Overton
Hon Anna Elisabeth Oxenham
Hon H. Thomas Padrick Jr.
Hon J. Larry Palmer
Hon Jeffrey W. Parker
Hon Westbrook J. Parker
Hon Albert W. Patrick III
Hon John A. Paul
Hon Deborah M. Paxson
Hon H. Dudley Payne Jr.
Hon Paul M. Peatross Jr.
Hon Charles A. Perkinson Jr.
Hon Mosby Garland Perrow III
Hon David F. Peterson
Hon Robert B. Phillips
Hon Gammiel Gray Poindexter
Hon Charles Evans Poston
Hon Richard Bowen Potter
Hon Cleo E. Powell
Hon Samuel T. Powell III
Hon John R. Prosser
Hon David F. Pugh
Hon Robert A. Pustilnik
Hon John C. Quigley Jr.
Hon Michael Miller Rand
Hon Julian H. Raney Jr.
Hon Deborah L. Rawls
Hon Merlin M. Renne
Hon Horace A. Revercomb III
Hon Stephen W. Rideout
Hon Edward A. Robbins Jr.
Hon Angela Edwards Roberts
Hon James Bailey Robeson
Hon Frederick Gore Rockwell III
Hon Alan E. Rosenblatt
Hon Jane Marum Roush
Hon Gregory L. Rupe
Hon Charles S. Russell
Hon Timothy K. Sanner
Hon Gordon F. Saunders
Hon David Stanford Schell
Hon John W. Scott Jr.
Hon Birg E. Sergent
Hon Joseph Michael Serkes
Hon Thomas S. Shadrick
Hon William W. Sharp
Hon W. Allan Sharrett
Hon William H. Shaw III
Hon Louis Allen Sherman
Hon A. Bonwill Shockley
Hon James Michael Shull
Hon Charles F. Sievers
Hon Mark C. Simmons
Hon Ann Hunter Simpson
Hon Robert L. Simpson Jr.
Hon Joan C. Skeppstrom
Hon Lorraine Nordlund Skipper
Hon N. Prentis Smiley Jr.
Hon Dennis J. Smith
Hon James H. Smith
Hon Robert J. Smith
Hon Beverly W. Snukals
Hon Denis F. Soden
Hon Frank W. Somerville
Hon Valentine W. Southall Jr.
Hon Margaret Poles Spencer
Hon Peter W. Steketee
Hon Roscoe B. Stephenson Jr.
Hon John R. Stevens
Hon L. Neil Steverson
Hon M. Lee Stilwell Jr.
Hon David T. Stitt
Hon Charles M. Stone
Hon Walter W. Stout III
Hon Charles J. Strauss
Hon J. Robert Stump
Hon Bryant L. Sugg
Hon James R. Swanson
Hon Dean W. Sword Jr.
Hon Jacqueline F. Ward Talevi
Hon Harry T. Taliaferro III
Hon Alfreda Talton-Harris
Hon Joseph S. Tate
Hon Joi Jeter Taylor
Hon Lydia Calvert Taylor
Hon Ramona D. Taylor
Hon Richard D. Taylor Jr.
Hon Wilford Taylor Jr.
Hon C. Peter Tench
Hon Jonathan C. Thacher
Hon Norman A. Thomas
Hon James L. Tompkins III
Hon Winship C. Tower
Hon Wenda Kavanagh Travers
Hon Peter L. Trible
Hon Alfred M. Tripp
Hon Philip Trompeter
Hon Malfourd W.  Bo Trumbo
Hon Paul A. Tucker
Hon Robert M. D. Turk
Hon Edward M. Turner III
Hon Glen Allen Tyler
Hon James W. Updike Jr.
Hon Michael J. Valentine
Hon Henry A. Vanover
Hon George D. Varoutsos
Hon Thomas L. Vaughn
Hon Robert C. Viar Jr.
Hon Arthur B. Vieregg Jr.
Hon Philip Arthur Wallace
Hon Charles H. Warren
Hon Junius P. Warren
Hon Thomas V. Warren
Hon Jacqueline R. Waymack
Hon Clifford R. Weckstein
Hon William L. Wellons
Hon Patricia L. West
Hon John E. Wetsel Jr.
Hon Herman A. Whisenant Jr.
Hon David Shaw Whitacre
Hon A. Ellen White
Hon Colon H. Whitehurst
Hon Susan L. Whitlock
Hon Morton V. Whitlow
Hon Bruce A. Wilcox
Hon Dale M. Wiley
Hon Sharon B. Will
Hon David L. Williams
Hon David Victor Williams
Hon Gino W. Williams
Hon Keary R. Williams
Hon Marcus D. Williams
Hon Stuart L. Williams Jr.
Hon William P. Williams
Hon Alotha C. Willis
Hon Gordon F. Willis
Hon Jere M.H. Willis Jr.
Hon Larry D. Willis
Hon Elizabeth S. Wills
Hon Robert B. Wilson V
Hon Thomas H. Wood
Hon Robert G. Woodson Jr.
Hon Gene A. Woolard
Hon Robert W. Wooldridge Jr.
Hon Dean S. Worcester
Hon Timothy S. Wright
Hon Archer L. Yeatts III
""
Mr Ronald S. Albright
Hon Beverly R. Anderson
Ms Terry Jean Andrews
Hon A. Nicole Armentrout
Ms Stacey T. Arrington
Hon Gayle Ashworth
Ms Katherine Malley Aylor
Ms Jill G. Baker
Ms Jacqueline Michelle Balderson
Mr Thomas E. Baldwin Sr.
Hon Gail H. Barb
Hon Denise F. Barb
Mr Christopher Eric Barr
Ms Ruth P. Bates
Ms Linda M. Beatty
