Judge,Year,Court
on. L. D. Barry~,2001,Richmond
Hon A. B. Crush III,2002,Roanoke City
Hon. Jonathan M. Apgar~,2002,Roanoke City
Hon. Robert P. Doherty Jr.~,2002,Roanoke City
Hon. Clifford R. Weckstein~,2002,Roanoke City
Hon. Charles N. Dorsey,2002,Roanoke City
Hon. Diane McQ. Strickland,2002,Roanoke City
Hon. James R. Swanson,2002,Roanoke City
Hon. D. L. Hupp~,2001,Shenandoah
"Hon. P. R. Graves, Jr.*",2001,Shenandoah
Hon. J. R. Prosser,2001,Shenandoah
"Hon. J. E. Wetsel, Jr.",2001,Shenandoah
"Hon. J. J. McGrath, Jr.",2001,Shenandoah
Hon L. Wayne Harper,2002,Rockingham
Hon. James V. Lane~,2002,Rockingham
Hon. John E. Wetsel Jr.*,2002,Rockingham
Hon. Dennis Lee Hupp,2002,Rockingham
Hon. John J. McGrath Jr.,2002,Rockingham
Hon. John R. Prosser,2002,Rockingham
Hon Steven A. McGraw,2003,Roanoke County
Hon. Robert P. Doherty Jr.~*,2003,Roanoke County
Hon. Jonathan M. Apgar,2003,Roanoke County
Hon. William D. Broadhurst,2003,Roanoke County
Hon. Charles N. Dorsey,2003,Roanoke County
Hon. James R. Swanson,2003,Roanoke County
Hon. Clifford R. Weckstein,2003,Roanoke County
Hon Mark A. Taylor,2002,Scott
Hon. Ford C. Quillen~,2002,Scott
Hon. J. Robert Stump*,2002,Scott
Hon. Birg E. Sergent,2002,Scott
Hon Michael D. Wolfe,2004,Alleghany
Hon. Thomas H. Wood*,2004,Alleghany
Hon. Humes J. Franklin Jr.,2004,Alleghany
Hon. Michael S. Irvine,2004,Alleghany
Hon. Malfourd W.  Bo Trumbo,2004,Alleghany
Hon Gail H. Barb,2002,Fauquier
Hon. Jeffrey W. Parker~,2002,Fauquier
Hon. Thomas D. Horne*,2002,Fauquier
Hon. James H. Chamblin,2002,Fauquier
Hon. Burke F. McCahill,2002,Fauquier
Hon Judy L. Orfield,2003,Bristol
Hon. Charles B. Flannagan II~,2003,Bristol
Hon. C. Randall Lowe*,2003,Bristol
Hon David A. Bell,2004,Arlington
Hon. William T. Newman Jr.~*,2004,Arlington
Hon. James F. Almand~,2004,Arlington
Hon. Joanne F. Alper~,2004,Arlington
Hon. Benjamin N. A. Kendrick~,2004,Arlington
